Country/Territory,Region,C/T,Edition,Status,PR rating,CL rating,A1,A2,A3,A,B1,B2,B3,B4,B,C1,C2,C3,C,Add Q,Add A,PR,D1,D2,D3,D4,D,E1,E2,E3,E,F1,F2,F3,F4,F,G1,G2,G3,G4,G,CL,Total
Abkhazia,Eurasia,t,2020,PF,5,5,2,2,1,5,2,3,2,1,8,1,1,2,4,0,N/A,17,2,2,1,3,8,3,2,1,6,1,1,1,1,4,1,1,2,1,5,23,40
Afghanistan,Asia,c,2020,NF,5,6,1,1,1,3,2,2,1,2,7,1,1,1,3,0,N/A,13,2,1,1,2,6,2,1,1,4,1,0,0,1,2,0,1,0,1,2,14,27
Albania,Europe,c,2020,PF,3,3,3,3,2,8,3,3,3,3,12,3,2,2,7,0,N/A,27,2,4,3,4,13,4,3,2,9,2,2,2,3,9,3,2,2,2,9,40,67
Algeria,MENA,c,2020,NF,6,5,1,1,1,3,1,1,1,1,4,1,1,1,3,0,N/A,10,1,1,2,3,7,2,1,1,4,1,1,2,2,6,2,2,2,1,7,24,34
Andorra,Europe,c,2020,F,1,1,4,4,4,12,4,4,4,3,15,4,4,4,12,0,N/A,39,3,3,4,4,14,4,4,3,11,4,4,4,3,15,4,4,3,4,15,55,94
Angola,SSA,c,2020,NF,6,5,0,2,1,3,2,1,1,2,6,1,1,0,2,0,N/A,11,1,2,2,2,7,2,2,2,6,1,1,1,2,5,1,1,1,0,3,21,32
Antigua and Barbuda,Americas,c,2020,F,2,2,4,4,4,12,3,4,3,3,13,3,2,3,8,0,N/A,33,3,4,4,4,15,4,3,3,10,4,3,4,3,14,4,3,3,3,13,52,85
Argentina,Americas,c,2020,F,2,2,4,4,3,11,4,4,4,4,16,3,2,3,8,0,N/A,35,3,4,4,4,15,4,4,3,11,2,3,2,3,10,4,3,4,3,14,50,85
Armenia,Eurasia,c,2020,PF,4,4,2,2,2,6,3,3,2,2,10,2,1,2,5,0,N/A,21,2,2,2,3,9,3,3,2,8,1,1,2,2,6,3,2,2,2,9,32,53
Australia,Asia,c,2020,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,N/A,40,3,4,4,4,15,4,4,4,12,4,4,4,3,15,4,4,4,3,15,57,97
Austria,Europe,c,2020,F,1,1,4,4,4,12,4,4,4,3,15,4,3,3,10,0,N/A,37,3,3,4,4,14,4,4,4,12,4,4,4,3,15,4,4,4,3,15,56,93
Azerbaijan,Eurasia,c,2020,NF,7,6,0,0,0,0,1,0,1,0,2,0,0,0,0,0,N/A,2,0,0,1,1,2,0,0,1,1,0,0,0,0,0,1,1,2,1,5,8,10
Bahamas,Americas,c,2020,F,1,1,4,4,4,12,4,4,4,4,16,4,3,3,10,0,N/A,38,3,4,4,4,15,4,4,4,12,4,3,4,2,13,3,4,3,3,13,53,91
Bahrain,MENA,c,2020,NF,7,6,0,1,1,2,0,0,0,0,0,0,2,0,2,3,N/A,1,0,1,0,1,2,0,0,1,1,0,1,0,0,1,1,2,2,1,6,10,11
Bangladesh,Asia,c,2020,PF,5,5,1,1,2,4,2,1,2,2,7,1,1,2,4,0,N/A,15,1,2,1,2,6,2,2,1,5,1,1,1,1,4,3,2,2,2,9,24,39
Barbados,Americas,c,2020,F,1,1,4,4,4,12,4,4,4,4,16,4,3,3,10,0,N/A,38,4,4,4,4,16,4,4,4,12,4,4,3,3,14,4,4,3,4,15,57,95
Belarus,Eurasia,c,2020,NF,7,6,0,0,0,0,1,0,1,1,3,0,1,1,2,0,N/A,5,0,1,0,1,2,1,1,1,3,0,1,0,1,2,2,2,2,1,7,14,19
Belgium,Europe,c,2020,F,1,1,4,4,4,12,4,4,4,4,16,4,3,4,11,0,N/A,39,4,3,4,4,15,4,4,4,12,4,4,4,3,15,4,4,4,3,15,57,96
Belize,Americas,c,2020,F,2,2,4,4,4,12,4,4,4,2,14,4,2,3,9,0,N/A,35,3,4,4,4,15,4,4,3,11,3,3,3,3,12,4,3,3,3,13,51,86
Benin,SSA,c,2020,PF,4,2,3,1,1,5,2,1,3,3,9,2,2,3,7,0,N/A,21,3,4,4,4,15,2,4,3,9,2,3,3,3,11,3,3,2,2,10,45,66
Bhutan,Asia,c,2020,PF,3,4,3,4,3,10,3,4,2,2,11,3,3,3,9,1,N/A,29,2,2,2,3,9,2,2,1,5,3,2,2,1,8,2,2,2,2,8,30,59
Bolivia,Americas,c,2020,PF,3,3,3,4,1,8,3,2,2,3,10,3,2,2,7,0,N/A,25,2,4,4,4,14,2,3,3,8,1,1,2,2,6,3,2,3,2,10,38,63
Bosnia and Herzegovina,Europe,c,2020,PF,4,4,2,2,2,6,3,2,2,2,9,2,1,1,4,0,N/A,19,2,3,2,3,10,3,2,2,7,1,2,2,2,7,3,2,3,2,10,34,53
Botswana,SSA,c,2020,F,3,2,3,4,3,10,3,2,3,2,10,3,3,2,8,0,N/A,28,2,4,3,3,12,4,4,2,10,3,3,3,2,11,3,3,2,3,11,44,72
Brazil,Americas,c,2020,F,2,2,3,3,4,10,4,4,3,3,14,3,2,2,7,0,N/A,31,3,4,4,3,14,3,3,3,9,3,2,1,2,8,4,3,3,3,13,44,75
